,Symphony_Camp_Id,Symphony_Placement_Id,Product,Campaign,Media_Type,Media,Position,Format,Size,Target_Market,Spot_Type,Ad_Type,Ad_Format,Date,Daily_Est_Imp,Daily_Est_Clk,Daily_Cost,Buying_Type,Imp_Trackable,Click_Trackable,Total_Est_Imp,Total_Est_Click,Total_Cost,Imp,uv,Click,Clicker,visits,visitDuration,uniquePageviews,dailyVisitors,视频,mobile,通栏,pc,信息流,首页,论坛,新闻,播放页,频道,搜狐,画中画,全屏,广告,贴片,半幅,剧目,app,banner,通发,某支,ott,优酷,腾讯,iphone,android,移动,框内,焦点,前贴,定向,开机,车型,客户端,大图,单个,咖啡厅,suv,剧场,top,轮播,mo,所有,正文,帖子,汽车,大型,文章,下单,车系,word_cluster,qcost,Leads
0,1828209496-1870683676,1828209496-1870683676-1396203630-60,S-Class,2017 S-Class Sustain Online Campaign Wave 1,Finance,FTChinese,Mobile端2017年展望Section-top banner,top banner,840*210jpg<100k,,Paid,Banner,Pic,2017-01-03,1000.0,2.5,199.928236,Day,True,True,28000,70,5599.0,87612.0,60640,386.0,377,,,,,0.0,0.21129961418485907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5858901096779853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6809006531418208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,"(0, 50000]",
1,1828209496-1870683676,1828209496-1870683676-1525904507-25,S-Class,2017 S-Class Sustain Online Campaign Wave 1,Portal,Tencent,新闻客户端-信息流大图-交互（系统定向位置一，约在5-6条位置出现）,新闻客户端-信息流大图-交互（系统定向位置一，约在5-6条位置出现）,详见sheet4,,Paid,Feeds ad,Pic,2017-01-03,260000.0,260.0,12486.311076,CPM,True,False,7934000,7934,380801.0,518391.0,389941,7838.0,0,,,,,0.0,0.0,0.0,0.0,0.3006094107878056,0.0,0.0,0.32505032438404763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38333235698196616,0.0,0.0,0.3965903378009746,0.4045683205775641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"(200000, 500000]",
2,1828209496-1870683676,1828209496-1870683676-1685061218-66,S-Class,2017 S-Class Sustain Online Campaign Wave 1,Finance,FTChinese,首页半幅画中画02,半幅画中画02,"300*600gif<30k or swf<40k(gif or jpg together), 3 loops Max. h5 accepted",,Bonus,PIP,Flash,2017-01-03,30000.0,33.010949,0.0,CPM,True,True,1096000,1206,0.0,19073.0,16851,37.0,28,,,,,0.0,0.0,0.0,0.0,0.0,0.23471739969235866,0.0,0.0,0.0,0.0,0.0,0.675607374461339,0.0,0.0,0.0,0.6989008641110078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,"(-1, 0]",
3,1828209496-1870683676,1828209496-1870683676-1742826194-61,S-Class,2017 S-Class Sustain Online Campaign Wave 1,Finance,FTChinese,Mobile端2017年展望Section-viewable mpu,viewable mpu,"300*250 gif<30k only, 3 loops Max.gif<30k only, 3 loops Max.",,Paid,Focus Picture,Flash,2017-01-03,1000.0,4.0,199.928236,Day,True,True,28000,112,5599.0,67570.0,51687,523.0,495,,,,,0.0,0.17662828776117315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,"(0, 50000]",
4,1828209496-1870683676,1828209496-1870683676-2060653125-57,S-Class,2017 S-Class Sustain Online Campaign Wave 1,Finance,FTChinese,PC端2017年展望半幅画中画2,半幅画中画2,"300*600 or 300*250 gif<30k or swf<40k(gif or jpg together), 3 loops Max. h5 accepted",,Paid,PIP,Flash,2017-01-03,6083.000009,7.087509,1819.348956,Day,True,True,170333,225,50950.0,60370.0,25287,16.0,14,,,,,0.0,0.0,0.0,0.22656999458236485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676949628365271,0.0,0.0,0.0,0.7002893960435705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,"(50000, 200000]",
5,1828209496-1870683676,1828209496-1870683676-2100403259-58,S-Class,2017 S-Class Sustain Online Campaign Wave 1,Finance,FTChinese,PC端2017年展望画中画3,画中画3,"300*250<30k, 3 loops Max., SWF(gif or jpg together)/GIF/JPG, h5 file accepted",,Paid,PIP,Flash,2017-01-03,6083.000009,10.275,2339.164372,Day,True,True,170333,312,65507.0,49235.0,20483,69.0,66,,,,,0.0,0.0,0.0,0.3173875717690238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9482959080827897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,"(50000, 200000]",
6,1828209496-1870683676,1828209496-1870683676-317842789-56,S-Class,2017 S-Class Sustain Online Campaign Wave 1,Finance,FTChinese,PC端2017年展望半幅画中画1,半幅画中画1,"300*600 or 300*250 or 300*1050 gif<30k or swf<40k(gif or jpg together), 3 loops Max. h5 accepted",,Paid,PIP,Flash,2017-01-03,6083.000009,8.5625,2443.125455,Day,True,True,170333,260,68418.0,50564.0,20629,36.0,33,,,,,0.0,0.0,0.0,0.22656999458236485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.676949628365271,0.0,0.0,0.0,0.7002893960435705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,"(50000, 200000]",
7,1828209496-1870683676,1828209496-1870683676-331905669-59,S-Class,2017 S-Class Sustain Online Campaign Wave 1,Finance,FTChinese,PC端2017年展望底部通栏,底部通栏,"969*90 or 1200*120 gif<30k or swf<40k(gif or jpg together), 3 loops Max. h5 accepted",,Paid,Banner,Flash,2017-01-03,6083.000009,3.662509,1663.407331,Day,True,True,170333,121,46582.0,35564.0,20253,2.0,2,,,,,0.0,0.0,0.9013695755923763,0.43305067624519367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,"(0, 50000]",
8,1828209496-1870683676,1828209496-1870683676-45917230-64,S-Class,2017 S-Class Sustain Online Campaign Wave 1,Finance,FTChinese,Special report Traffic driver 站内导流(FTChinese In-site Content Promotion首页-banner 1,banner1,"如需logo,请提供logo源文件以及字体",,Bonus,Special co-op,Content,2017-01-03,16000.0,,0.0,CPM,True,False,0,0,0.0,114937.0,53032,0.0,0,,,,,0.0,0.0,0.0,0.0,0.0,0.11180644037806586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16897924134196488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,"(-1, 0]",
9,1828209496-1870683676,1828209496-1870683676-494935291-70,S-Class,2017 S-Class Sustain Online Campaign Wave 1,Finance,FTChinese,内页ROS半幅画中画02,半幅画中画02,"300*600 gif<30k or swf<40k(gif or jpg together), 3 loops Max. h5 accepted",,Bonus,PIP,Flash,2017-01-03,50000.0,49.98375,0.0,CPM,True,True,1538500,1538,0.0,22173.0,14593,25.0,22,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5816099269464592,0.0,0.0,0.0,0.6016625867094962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,"(-1, 0]",
